,JA_diff_l_prox_-0.003041550610151832,JV_l_prox_-0.7312707887954343,JA_diff_r_prox_-0.0009301223997788374,JV_r_prox_-0.21755824405140015,JA_diff_l_distal_0.0019291807764027118,JV_l_distal_0.4562064179035029,JA_diff_r_distal_-0.001611261686573612,JV_r_distal_-0.3802557706186004,EUC_dist_l_prox_0.0,EUC_dist_l_distal_0.00024011161671528726,EUC_dist_r_prox_0.0,EUC_dist_r_distal_0.000183964770457143,EUC_dist_cube_controller_0.00030668213751034113,EUC_dist_cube_human_0.000271667719348636
85,0.00028458928808805517,0.0683014291411438,-0.00011640045930194631,-0.0279361102324617,9.074629936378642e-12,2.1778984997435447e-09,2.5723230323571045e-07,6.173575278764398e-05,0.0,2.0523693666662674e-05,0.0,8.21204399416749e-06,2.8417102226407617e-08,0.0
86,0.0002846367480495715,0.0683128195318918,-0.00011633582720527169,-0.0279205985292545,-3.945399562610419e-12,-9.469009707511583e-10,1.1045790204722294e-07,2.6509896493178887e-05,0.0,2.04906259854629e-05,0.0,8.37732892258686e-06,9.28777116216417e-09,0.0
87,0.00028466013121586364,0.0683184314917992,-0.00011646739765891478,-0.0279521754381528,-3.034827944503604e-11,-7.283575743880899e-09,2.448516328579231e-07,5.876439187442296e-05,0.0,2.04906259854629e-05,0.0,8.37732892258686e-06,4.844587131029403e-08,0.0
88,0.0002846834187338887,0.0683240204961359,-0.00011657948314913735,-0.0279790759558036,-2.768218987370119e-11,-6.643712511307128e-09,1.5315508528068733e-07,3.675722047563062e-05,0.0,2.049888165861819e-05,0.0,8.387653047590213e-06,3.364629129550569e-08,0.00013
89,0.0002660554661532144,0.0638533118767742,-0.00014981213359199774,-0.0359549120620841,2.7682300896003653e-12,6.64372556971052e-10,-1.5315508528068733e-08,-3.675722046736503e-06,0.0,2.049888165861819e-05,0.0,8.393868541972344e-06,1.9936379195093614e-08,0.0
90,0.0002679456529144364,0.0643069566994634,-0.00014659736818201097,-0.0351833683636841,-2.7677860003905153e-13,-6.643752215030289e-11,1.531550886113564e-09,3.675722046736496e-07,0.0,1.915364011679459e-05,0.0,1.0790912799551133e-05,1.8118750453155686e-08,0.0
91,0.0002681416685197391,0.0643540004447335,-0.0001464363188610207,-0.0351447165266428,2.7644553313166398e-14,6.6426864008313575e-12,-1.5315504420243542e-10,-3.6757221266725544e-08,0.0,1.9292091203209306e-05,0.0,1.0549143383167642e-05,1.6699801308870475e-08,0.0
92,0.0002681202713538111,0.0643488651249114,-0.0001466393496858398,-0.0351934439246017,-2.7755575615628914e-15,-6.634692795159935e-13,1.5315526624704034e-11,3.6757210608584505e-09,0.0,1.9302424073245083e-05,0.0,1.0542929587670244e-05,1.5391188739600366e-08,0.0
93,0.0002681559575862247,0.0643574298206844,-0.0001467457913977288,-0.0352189899354632,2.220446049250313e-16,6.661338137163027e-14,-1.5315526624704034e-12,-3.675726389928968e-10,0.0,1.9306560560739026e-05,0.0,1.0559467926858985e-05,1.4190240726026855e-08,0.0
94,0.00026818420930430076,0.0643642102330241,-0.00014685392690161336,-0.0352449424563792,0.0,-5.3290705182007506e-15,1.5309975509580909e-13,3.6757263899289676e-11,0.0,1.9310699036800256e-05,0.0,1.0563580730511814e-05,9.760821148120813e-08,0.0
95,0.00026822318907782083,0.0643735653786788,-0.00014695985185275706,-0.0352703644446655,0.0,0.0,-1.532107773982716e-14,-3.674394122299418e-12,0.0,1.930450464889537e-05,0.0,1.0573906926802496e-05,5.7352823367783476e-08,0.0
96,0.0002683790641384576,0.0644109753932368,-0.00014656669063006778,-0.0351760057512244,0.0,-1.0587911840678754e-22,1.5543122344752192e-15,3.6770586583526124e-13,0.0,1.9318981949512127e-05,0.0,1.0580118269265528e-05,2.4106510296276122e-08,0.0
97,0.0002683694197537223,0.0644086607408837,-0.0001468023178783362,-0.0352325562907934,0.0,0.0,-1.1102230246251565e-16,-3.730349360093548e-14,0.0,1.9318981949512127e-05,0.0,1.055737017441754e-05,1.435159996242853e-08,0.0
98,0.00026840323861432314,0.0644167772674489,-0.0001469449425723912,-0.03526678621737,0.0,0.0,0.0,2.664535259100376e-15,0.0,1.932312638360774e-05,0.0,1.056769718642713e-05,1.3403172729023198e-08,0.0
99,0.00026843175735702385,0.0644236217656951,-0.00014705397307268608,-0.0352929535374538,0.0,0.0,0.0,-2.646977960169689e-23,0.0,1.9327272801160594e-05,0.0,1.058423353804743e-05,1.2369065749206443e-08,0.0
100,0.0002684660505870573,0.0644318521409036,-0.00014717338705527716,-0.0353216128932618,0.0,0.0,0.0,0.0,0.0,1.9325233455141848e-05,0.0,1.058423353804743e-05,1.141918319892339e-08,0.0
101,0.00026849599859113393,0.0644390396618844,-0.00014728552076281876,-0.0353485249830807,0.0,-1.0587911840678754e-22,0.0,0.0,0.0,1.9331421200894396e-05,0.0,1.0598680699250542e-05,1.0546192209103717e-08,0.0
102,0.00026853700052731355,0.0644488801265651,-0.00014739405346742007,-0.0353745728321798,0.0,0.0,0.0,0.0,0.0,1.93293851644056e-05,0.0,1.060488800055122e-05,9.743967295157397e-09,0.0
103,0.0002685666647600504,0.0644559995424147,-0.000147497221602233,-0.0353993331845492,0.0,-1.0587911840678754e-22,0.0,-2.646977960169689e-23,0.0,1.933353885336193e-05,0.0,1.0609009358437973e-05,1.0166563700868063e-07,0.0
104,0.0002686052095532965,0.0644652502927971,-0.00014759991760537883,-0.0354239802252927,0.0,0.0,0.0,2.646977960169689e-23,0.0,1.933769452073514e-05,0.0,1.0625544108372154e-05,4.643627421610175e-08,0.0
105,0.00026876018121524403,0.0645024434916654,-0.00014720708500981505,-0.0353297004023623,0.0,0.0,0.0,-7.940933880509066e-23,0.0,1.933769452073514e-05,0.0,1.0625544108372154e-05,1.7084540180367893e-08,0.00013
106,0.00023866704548636264,0.0572800909167191,-0.00016454625423345526,-0.0394911010160257,0.0,6.03510974918689e-21,0.0,-3.1763735522036263e-22,0.0,1.935219288764097e-05,0.0,1.059247500102781e-05,1.2167074830249163e-08,0.0
107,0.00029029787272616403,0.0696714894542762,-0.00011275580674863228,-0.0270613936196585,0.0,2.329340604949326e-21,0.0,-8.735027268559972e-22,0.0,1.718863638117267e-05,0.0,1.1848852539025445e-05,1.1313432745236646e-08,0.0
108,0.00028574197305109017,0.068578073532258,-0.00011772440216217817,-0.0282538565189196,0.0,1.0587911840678754e-22,0.0,2.779326858178173e-22,0.0,2.0895876877138577e-05,0.0,8.121040572289623e-06,1.0453194111790182e-08,0.0
109,0.0002852649827564946,0.0684635958615631,-0.00011830957839531475,-0.028394298814879,0.0,1.0587911840678754e-22,0.0,7.940933880509066e-23,0.0,2.0573519316578487e-05,0.0,8.478518473763088e-06,9.663142188929029e-09,0.0
110,0.00028542846108969844,0.0685028306615284,-0.00011827412721332475,-0.0283857905311954,0.0,0.0,0.0,0.0,0.0,2.0544643317807752e-05,0.0,8.517786454308147e-06,8.937270353079008e-09,0.0
111,0.0002854577772356537,0.068509866536566,-0.00011837025941041635,-0.0284088622584868,0.0,0.0,0.0,0.0,0.0,2.0548810694477946e-05,0.0,8.511583187656822e-06,8.270555087946794e-09,0.0
112,0.0002854861519157037,0.0685166764597715,-0.0001184657835042735,-0.0284317880410176,0.0,1.0587911840678754e-22,0.0,0.0,0.0,2.0548810694477946e-05,0.0,8.52191402853874e-06,1.0309810404726482e-07,0.0
113,0.00028551450236891096,0.0685234805685293,-0.00011855309463282282,-0.0284527427118698,0.0,0.0,0.0,1.3234889800848446e-23,0.0,2.055715101436713e-05,0.0,8.53224537292578e-06,4.3524159444677515e-08,0.00010000000000000005
114,0.00019926742905318484,0.047824182972758,-0.0001942976130799856,-0.046631427139197,0.0,2.0117032497289637e-21,0.0,-6.339512214606404e-21,0.0,2.055715101436713e-05,0.0,8.538446630928332e-06,1.514921504694274e-08,0.0
115,0.0003156901580423366,0.0757656379301651,-8.91864748459037e-05,-0.0214047539630183,0.0,-4.711620769102046e-21,0.0,-1.6305384234645282e-20,0.0,1.4347477643534823e-05,0.0,1.3985525701314117e-05,1.1321321240780012e-08,0.00012041594578792295
116,0.0002255534221031752,0.0541328213047748,-0.00017154891752446666,-0.0411717402058837,0.0,1.0376153603865179e-20,0.0,-4.063111168860472e-21,0.0,2.272705057214812e-05,0.0,6.420364639430444e-06,1.051959863443979e-08,0.0
117,-0.022503943797486325,-5.400946511396725,0.022208238255033486,5.329977181208028,0.0,0.0,-0.0004315556873328852,-0.1035733649599046,0.0,1.6240401240284562e-05,0.0,1.2357187172125542e-05,0.0015146929451207898,0.0
118,-0.018036830622540467,-4.3288393494097015,0.017767168710872694,4.26412049060945,0.030252319019047347,7.260556564571354,-0.030008219790803148,-7.201972749792748,0.0,0.0016202461223349886,0.0,0.001598965080684141,0.000506231521302832,0.0
119,-0.017484106458815818,-4.196185550115803,0.01785421896088657,4.285012550612781,0.029759359623279913,7.142246309587181,-0.030190673254448797,-7.245761581067708,0.0,0.0012986359309684798,0.0,0.0012792152043323182,0.00047331276012800176,0.00013
120,0.00236764945167256,0.5682358684014224,-0.002656824641776079,-0.6376379140262465,-0.0022482654802744584,-0.5395837152658576,0.002160229191701335,0.5184550060083177,0.0,0.0012588401075063216,0.0,0.0012854864326769355,0.0004103500846206513,0.00013
121,0.0006072220602900691,0.1457332944696056,-0.0005360892073096313,-0.1286614097543127,0.0011433749109043267,0.274409978617031,-0.0011882449780769022,-0.2851787947384679,0.0,0.00017047318986903326,0.0,0.00019128604373366313,0.000311396003541166,0.00012083045973594578
122,0.0005664645957308423,0.1359515029753988,-0.00036495093180710647,-0.0875882236337129,0.0012320211602733222,0.2956850784655864,-0.001045873656773777,-0.2510096776256987,0.0,4.3719977739713756e-05,0.0,3.860479350503084e-05,0.0002385137743018477,0.00011999999999999988
