,x,y,rmag,f_x,f_y,f_rot_mag
177,-0.238,0.2956,1.9701,-0.2712,0.3067,2.8846
178,-0.238,0.2956,1.9701,-0.2676,0.3052,2.8199
179,-0.238,0.2956,1.9701,-0.2648,0.3048,2.753
180,-0.238,0.2956,1.9701,-0.2619,0.3043,2.6861
181,-0.2808,0.3171,2.94,-0.2615,0.3046,2.619
182,-0.2876,0.3117,3.9451,-0.2615,0.3046,2.619
183,-0.2832,0.3033,1.9701,-0.2643,0.3072,2.5544
184,-0.2985,0.2951,1.9701,-0.2655,0.3058,2.4897
185,-0.2985,0.2951,1.9701,-0.2667,0.3043,2.4251
186,-0.2985,0.2951,1.9701,-0.2678,0.3028,2.3604
187,-0.2985,0.2951,1.9701,-0.269,0.3014,2.2957
188,-0.2985,0.2951,1.9701,-0.2702,0.2999,2.2311
189,-0.2985,0.2951,1.9701,-0.2714,0.2984,2.1664
190,-0.2985,0.2951,1.9701,-0.2754,0.2984,2.1664
191,-0.2985,0.2951,1.9701,-0.2794,0.2984,2.1664
192,-0.2985,0.2951,1.9701,-0.2835,0.2983,2.1664
193,-0.2985,0.2951,1.9701,-0.2875,0.2983,2.1664
194,-0.2985,0.2951,1.9701,-0.2915,0.2983,2.1664
195,-0.2985,0.2951,1.9701,-0.2956,0.2982,2.1664
196,-0.2985,0.2951,1.9701,-0.2968,0.2968,2.1018
197,-0.2985,0.2951,1.9701,-0.2975,0.2956,1.9701
198,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
199,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
200,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
201,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
202,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
203,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
204,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
205,-0.2985,0.2951,1.9701,-0.2985,0.2951,1.9701
