,x,y,rmag,f_x,f_y,f_rot_mag
258,0.0317,-0.1319,5.8372,0.0216,-0.1386,9.4068
259,0.0225,-0.118,5.0274,0.0212,-0.1369,9.022
260,0.0419,-0.1292,3.9081,0.0227,-0.1346,8.6098
261,0.0479,-0.1281,3.9081,0.0245,-0.1335,8.1505
262,0.0525,-0.1268,1.9608,0.0268,-0.1315,7.6085
263,0.0531,-0.1187,1.9608,0.0291,-0.1302,7.0193
264,0.0637,-0.125,0.0,0.032,-0.1293,6.2994
265,0.062,-0.1168,0.0,0.0348,-0.1279,5.5795
266,0.0678,-0.1164,0.0,0.038,-0.1265,4.8596
267,0.0814,-0.1234,1.9701,0.0421,-0.1255,4.2711
268,0.0814,-0.1234,1.9701,0.0462,-0.1245,3.6825
269,0.0876,-0.1231,1.9701,0.0511,-0.1239,3.2203
270,0.0876,-0.1231,1.9701,0.0554,-0.1233,2.8865
271,0.0876,-0.1231,1.9701,0.0596,-0.124,2.5527
272,0.0876,-0.1231,1.9701,0.0638,-0.1233,2.2949
273,0.0878,-0.115,0.0,0.0675,-0.1222,1.9057
274,0.0789,-0.0979,1.9608,0.0713,-0.1209,1.7013
275,0.0812,-0.0952,1.9608,0.0739,-0.1186,1.5715
276,0.0812,-0.0915,3.0561,0.0761,-0.1162,1.5147
277,0.0751,-0.0939,3.9081,0.0776,-0.114,1.6445
278,0.0751,-0.0939,3.9081,0.0791,-0.1123,1.7743
279,0.0751,-0.0939,3.9081,0.0798,-0.1102,2.0348
280,0.0751,-0.0939,3.9081,0.0807,-0.1087,2.2954
281,0.0751,-0.0939,3.9081,0.0812,-0.1072,2.5559
282,0.0749,-0.1005,1.9608,0.0808,-0.1057,2.5553
283,0.0753,-0.0933,3.9081,0.0803,-0.1037,2.6845
284,0.0754,-0.1001,3.9081,0.0795,-0.1022,2.8137
285,0.0588,-0.0856,3.0561,0.0776,-0.0997,2.8861
286,0.0637,-0.0748,3.0561,0.076,-0.0964,2.9585
287,0.0685,-0.0935,3.9081,0.0747,-0.0945,3.0877
288,0.0552,-0.0824,5.0274,0.0726,-0.0923,3.4229
289,0.0625,-0.0946,3.9081,0.0715,-0.0921,3.5527
290,0.0565,-0.0956,3.9081,0.0698,-0.0921,3.6825
291,0.0435,-0.0847,5.0274,0.0673,-0.0916,3.8139
292,0.0601,-0.0952,5.0274,0.0663,-0.0917,3.8885
293,0.0445,-0.0977,3.9081,0.0643,-0.092,3.8885
294,0.0495,-0.0829,5.8372,0.0626,-0.0912,4.0171
295,0.0382,-0.0874,5.8372,0.0601,-0.0908,4.1458
296,0.0318,-0.0921,5.8372,0.0572,-0.0907,4.2744
297,0.0195,-0.0821,5.0274,0.0535,-0.0895,4.4788
298,0.0256,-0.0892,3.9081,0.0502,-0.0892,4.4788
299,0.0256,-0.0892,3.9081,0.0469,-0.0885,4.4788
300,0.0281,-0.0936,3.9081,0.0449,-0.089,4.5356
301,0.0291,-0.0982,2.8209,0.0425,-0.0906,4.5199
302,0.0301,-0.1022,1.9608,0.04,-0.0911,4.3901
303,0.0326,-0.109,1.0679,0.0385,-0.0929,4.1261
304,0.0384,-0.1082,1.9608,0.0369,-0.0938,3.9963
305,0.0265,-0.1134,1.9608,0.0349,-0.095,3.8665
306,0.0394,-0.1156,1.9608,0.0346,-0.0971,3.6621
307,0.0232,-0.1229,3.9081,0.0321,-0.0989,3.5874
308,0.0425,-0.1331,3.9081,0.032,-0.1013,3.5874
