,x,y,rmag,f_x,f_y,f_rot_mag
155,0.0755,-0.0721,23.2782,0.0833,-0.0841,21.7188
156,0.0771,-0.0669,21.4841,0.0834,-0.0823,21.8049
157,0.0904,-0.0799,21.4841,0.0838,-0.0819,21.8911
158,0.0815,-0.0839,20.1914,0.0836,-0.0816,21.7714
159,0.0815,-0.0839,20.1914,0.0842,-0.0811,21.6852
160,0.0815,-0.0839,20.1914,0.0843,-0.081,21.5655
161,0.0882,-0.0772,20.1914,0.0847,-0.0802,21.4457
162,0.0872,-0.081,20.1914,0.0852,-0.0799,21.326
163,0.0852,-0.0778,18.9228,0.0849,-0.0793,21.1552
164,0.0935,-0.0744,20.1914,0.0851,-0.0785,21.069
165,0.0949,-0.0732,18.9228,0.0854,-0.0777,20.8983
166,0.0872,-0.081,20.1914,0.0857,-0.0776,20.7785
167,0.0872,-0.081,20.1914,0.0855,-0.0777,20.6924
168,0.0713,-0.0895,20.1914,0.0842,-0.0784,20.6062
169,0.0815,-0.0839,20.1914,0.0842,-0.0793,20.4004
170,0.0815,-0.0839,20.1914,0.0846,-0.0801,20.1946
171,0.0815,-0.0839,20.1914,0.0849,-0.0812,20.1084
172,0.0815,-0.0839,20.1914,0.0843,-0.0815,20.0223
173,0.0815,-0.0839,20.1914,0.0843,-0.0815,20.0223
174,0.0904,-0.0799,21.4841,0.0849,-0.0812,20.1084
175,0.0879,-0.0792,21.4841,0.0854,-0.0809,20.1946
176,0.0723,-0.0821,23.2782,0.0843,-0.0812,20.4004
177,0.0784,-0.0795,23.2782,0.0837,-0.0811,20.6062
178,0.0771,-0.0833,21.9875,0.0832,-0.0815,20.8105
179,0.0746,-0.0683,21.4841,0.0819,-0.0811,20.8967
180,0.0851,-0.089,21.4841,0.0813,-0.0822,21.0674
181,0.0806,-0.0883,23.2782,0.0808,-0.0826,21.2732
182,0.0691,-0.0921,23.2782,0.0796,-0.0834,21.479
183,0.0691,-0.0921,23.2782,0.0795,-0.0836,21.6848
184,0.0691,-0.0921,23.2782,0.0786,-0.0841,21.8906
185,0.0778,-0.0789,20.1914,0.0784,-0.0838,21.8906
186,0.0778,-0.0789,20.1914,0.0782,-0.0834,21.8906
187,0.0676,-0.1055,21.4841,0.0772,-0.0849,21.9768
188,0.0749,-0.104,20.1914,0.0768,-0.0862,21.9768
189,0.0749,-0.104,20.1914,0.0758,-0.0878,21.8906
190,0.0749,-0.104,20.1914,0.0749,-0.0895,21.8044
191,0.0749,-0.104,20.1914,0.0751,-0.0909,21.5986
192,0.0749,-0.104,20.1914,0.0748,-0.0926,21.3928
193,0.0749,-0.104,20.1914,0.0747,-0.0939,21.2731
194,0.0749,-0.104,20.1914,0.0747,-0.0963,21.1869
195,0.0749,-0.104,20.1914,0.074,-0.0973,21.1007
196,0.0749,-0.104,20.1914,0.0736,-0.0984,20.8949
197,0.0727,-0.0974,21.9875,0.0739,-0.0987,20.8089
198,0.0727,-0.0974,21.9875,0.0741,-0.0991,20.7228
199,0.0818,-0.1097,21.4841,0.075,-0.1003,20.6032
200,0.0716,-0.1141,20.1914,0.0746,-0.1026,20.6032
201,0.0716,-0.1141,20.1914,0.0741,-0.1049,20.6032
202,0.0716,-0.1141,20.1914,0.0744,-0.1055,20.5171
203,0.0716,-0.1141,20.1914,0.0742,-0.1062,20.5171
204,0.0716,-0.1141,20.1914,0.074,-0.1069,20.5171
205,0.0716,-0.1141,20.1914,0.0737,-0.1075,20.5171
206,0.0716,-0.1141,20.1914,0.0735,-0.1082,20.5171
207,0.0716,-0.1141,20.1914,0.0733,-0.1089,20.5171
208,0.0716,-0.1141,20.1914,0.0731,-0.1096,20.5171
209,0.0716,-0.1141,20.1914,0.0729,-0.1102,20.5171
210,0.0785,-0.1074,20.1914,0.0731,-0.1105,20.5171
211,0.0785,-0.1074,20.1914,0.0733,-0.1107,20.5171
212,0.0684,-0.1121,21.9875,0.0731,-0.1117,20.5171
213,0.0785,-0.1074,20.1914,0.0734,-0.1123,20.3973
214,0.0573,-0.1184,20.1914,0.0718,-0.1129,20.3111
215,0.0594,-0.1137,21.4841,0.071,-0.1129,20.3973
216,0.0573,-0.1184,20.1914,0.07,-0.1132,20.3973
217,0.0683,-0.1241,20.1914,0.0698,-0.1138,20.3973
218,0.0683,-0.1241,20.1914,0.0696,-0.1145,20.3973
219,0.0683,-0.1241,20.1914,0.0694,-0.1152,20.3973
220,0.0683,-0.1241,20.1914,0.0692,-0.1158,20.3973
221,0.0665,-0.1162,21.9875,0.0688,-0.116,20.5171
222,0.0685,-0.1061,20.1914,0.0686,-0.1154,20.5171
223,0.065,-0.1341,20.1914,0.0682,-0.1168,20.5171
224,0.065,-0.1341,20.1914,0.0677,-0.1181,20.5171
225,0.065,-0.1341,20.1914,0.0668,-0.1199,20.5171
226,0.065,-0.1341,20.1914,0.0659,-0.1217,20.5171
227,0.0741,-0.1282,21.4841,0.0663,-0.1227,20.4835
228,0.0741,-0.1282,21.4841,0.066,-0.1241,20.5697
229,0.0541,-0.1253,20.1914,0.0658,-0.1246,20.5697
230,0.0541,-0.1253,20.1914,0.0655,-0.1254,20.4835
